"customer","product","month","before_avg","during_avg","after_avg"
"Sam","Cookies",3,"2523.000",NULL,NULL
"Sam","Cookies",4,NULL,NULL,"454.000"
"Sam","Cookies",5,NULL,"454.000","362.000"
"Sam","Cookies",6,"454.000","362.000",NULL
"Sam","Cookies",7,"362.000",NULL,NULL
"Sam","Cookies",8,NULL,NULL,NULL
"Sam","Cookies",9,NULL,NULL,"132.000"
"Sam","Cookies",10,NULL,"132.000","3550.500"
"Sam","Cookies",11,"132.000","3550.500","1657.000"
"Sam","Cookies",12,"3550.500","1657.000",NULL
"Sam","Eggs",1,NULL,"4610.000","1091.000"
"Sam","Eggs",2,"4610.000","1091.000","1744.000"
"Sam","Eggs",3,"1091.000","1744.000",NULL
"Sam","Eggs",4,"1744.000",NULL,"2238.500"
"Sam","Eggs",5,NULL,"2238.500",NULL
"Sam","Eggs",6,"2238.500",NULL,"1417.000"
"Sam","Eggs",7,NULL,"1417.000",NULL
"Sam","Eggs",8,"1417.000",NULL,"964.000"
"Sam","Eggs",9,NULL,"964.000",NULL
"Sam","Eggs",10,"964.000",NULL,"4674.000"
"Sam","Eggs",11,NULL,"4674.000",NULL
"Sam","Eggs",12,"4674.000",NULL,NULL
"Sam","Fruits",1,NULL,NULL,NULL
"Sam","Fruits",2,NULL,NULL,NULL
"Sam","Fruits",3,NULL,NULL,NULL
"Sam","Fruits",4,NULL,NULL,"3743.000"
"Sam","Fruits",5,NULL,"3743.000",NULL
"Sam","Fruits",6,"3743.000",NULL,"2240.000"
"Sam","Fruits",7,NULL,"2240.000",NULL
"Sam","Fruits",8,"2240.000",NULL,"4296.500"
"Sam","Fruits",9,NULL,"4296.500","2605.500"
"Sam","Fruits",10,"4296.500","2605.500","4068.500"
"Sam","Fruits",11,"2605.500","4068.500","2977.500"
"Sam","Fruits",12,"4068.500","2977.500",NULL
"Sam","Milk",1,NULL,"1388.000","2280.000"
"Sam","Milk",2,"1388.000","2280.000",NULL
"Sam","Milk",3,"2280.000",NULL,"598.000"
"Sam","Milk",4,NULL,"598.000",NULL
"Sam","Milk",5,"598.000",NULL,NULL
"Sam","Milk",6,NULL,NULL,"3120.000"
"Sam","Milk",7,NULL,"3120.000","1628.000"
"Sam","Milk",8,"3120.000","1628.000",NULL
"Sam","Milk",9,"1628.000",NULL,NULL
"Sam","Milk",10,NULL,NULL,"1607.000"
"Sam","Milk",11,NULL,"1607.000","2843.000"
"Sam","Milk",12,"1607.000","2843.000",NULL
"Sam","Pepsi",1,NULL,NULL,NULL
"Sam","Pepsi",2,NULL,NULL,"2441.667"
"Sam","Pepsi",3,NULL,"2441.667","160.000"
"Sam","Pepsi",4,"2441.667","160.000","3468.000"
"Sam","Pepsi",5,"160.000","3468.000","3368.000"
"Sam","Pepsi",6,"3468.000","3368.000","3189.000"
"Sam","Pepsi",7,"3368.000","3189.000",NULL
"Sam","Pepsi",8,"3189.000",NULL,"4337.000"
"Sam","Pepsi",9,NULL,"4337.000","3008.000"
"Sam","Pepsi",10,"4337.000","3008.000","2395.500"
"Sam","Pepsi",11,"3008.000","2395.500","4865.000"
"Sam","Pepsi",12,"2395.500","4865.000",NULL
"Sam","Soap",1,NULL,"2408.500","165.000"
"Sam","Soap",2,"2408.500","165.000","2994.000"
"Sam","Soap",3,"165.000","2994.000","4954.000"
"Sam","Soap",4,"2994.000","4954.000",NULL
"Sam","Soap",5,"4954.000",NULL,"1840.500"
"Sam","Soap",6,NULL,"1840.500",NULL
"Sam","Soap",7,"1840.500",NULL,"2956.000"
"Sam","Soap",8,NULL,"2956.000","3260.000"
"Sam","Soap",9,"2956.000","3260.000",NULL
"Sam","Soap",10,"3260.000",NULL,"694.000"
"Sam","Soap",11,NULL,"694.000",NULL
"Sam","Soap",12,"694.000",NULL,NULL
"Sam","Yogurt",1,NULL,"2217.500",NULL
"Sam","Yogurt",2,"2217.500",NULL,"1943.000"
"Sam","Yogurt",3,NULL,"1943.000",NULL
"Sam","Yogurt",4,"1943.000",NULL,"2925.000"
"Sam","Yogurt",5,NULL,"2925.000","2545.500"
"Sam","Yogurt",6,"2925.000","2545.500","2683.000"
"Sam","Yogurt",7,"2545.500","2683.000",NULL
"Sam","Yogurt",8,"2683.000",NULL,"1317.000"
"Sam","Yogurt",9,NULL,"1317.000",NULL
"Sam","Yogurt",10,"1317.000",NULL,NULL
"Sam","Yogurt",11,NULL,NULL,NULL
"Sam","Yogurt",12,NULL,NULL,NULL
